mu 1.0000000000
0.0000000000 0.1000000000 0.1000000000
0.1000000000 0.1099774065 0.0993679428
0.2000000000 0.1198358549 0.0976040052
0.3000000000 0.1294571501 0.0946085896
0.4000000000 0.1387133265 0.0902861521
0.5000000000 0.1474671355 0.0845468599
0.6000000000 0.1555727008 0.0773082608
0.7000000000 0.1628763373 0.0684968990
0.8000000000 0.1692175280 0.0580498272
0.9000000000 0.1744300430 0.0459159439
1.0000000000 0.1783431825 0.0320571170
1.1000000000 0.1807831193 0.0164490561
1.2000000000 0.1815743163 -0.0009180665
1.3000000000 0.1805409938 -0.0200392169
1.4000000000 0.1775086296 -0.0408942533
1.5000000000 0.1723054794 -0.0634477136
1.6000000000 0.1647641242 -0.0876484736
1.7000000000 0.1547230675 -0.1134290571
1.8000000000 0.1420284280 -0.1407043466
1.9000000000 0.1265358052 -0.1693693896
2.0000000000 0.1081124217 -0.1992959921
2.1000000000 0.0866396810 -0.2303277502
2.2000000000 0.0620163131 -0.2622732405
2.3000000000 0.0341623026 -0.2948971316
2.4000000000 0.0030238146 -0.3279091293
2.5000000000 -0.0314206720 -0.3609509324
2.6000000000 -0.0691528455 -0.3935817018
2.7000000000 -0.1101055595 -0.4252631564
2.8000000000 -0.1541523909 -0.4553460414
2.9000000000 -0.2010960195 -0.4830606147
3.0000000000 -0.2506560014 -0.5075146682
3.1000000000 -0.3024568913 -0.5277032380
3.2000000000 -0.3560181056 -0.5425343693
3.3000000000 -0.4107473148 -0.5508743821
3.4000000000 -0.4659394034 -0.5516138749
3.5000000000 -0.5207829771 -0.5437518215
3.6000000000 -0.5743758869 -0.5264900919
3.7000000000 -0.6257502075 -0.4993254863
3.8000000000 -0.6739056143 -0.4621228256
3.9000000000 -0.7178484194 -0.4151525237
4.0000000000 -0.7566320547 -0.3590805986
4.1000000000 -0.7893939960 -0.2949078042
4.2000000000 -0.8153843148 -0.2238650886
4.3000000000 -0.8339822457 -0.1472817121
4.4000000000 -0.8446990704 -0.0664469975
4.5000000000 -0.8471677098 0.0175142826
4.6000000000 -0.8411211705 0.1037384631
4.7000000000 -0.8263630384 0.1916850400
4.8000000000 -0.8027334898 0.2811648917
4.9000000000 -0.7700739510 0.3723401528
5.0000000000 -0.7281929054 0.4657024723
5.1000000000 -0.6768347406 0.5620343647
5.2000000000 -0.6156532911 0.6623533588
5.3000000000 -0.5441921138 0.7678310515
5.4000000000 -0.4618748360 0.8796684505
5.5000000000 -0.3680114397 0.9988951645
5.6000000000 -0.2618304005 1.1260435941
5.7000000000 -0.1425522632 1.2606348496
5.8000000000 -0.0095267155 1.4004149180
5.9000000000 0.1375405494 1.5403300645
6.0000000000 0.2982503223 1.6713836076
6.1000000000 0.4710692612 1.7798276704
6.2000000000 0.6528603380 1.8475713384
6.3000000000 0.8385621363 1.8549134661
6.4000000000 1.0212838912 1.7860710352
6.5000000000 1.1930419990 1.6360221077
6.6000000000 1.3460955983 1.4149377435
6.7000000000 1.4744422172 1.1465876946
6.8000000000 1.5748365732 0.8608230322
6.9000000000 1.6469346158 0.5844814310
7.0000000000 1.6926605361 0.3355226248
7.1000000000 1.7152308411 0.1219934075
7.2000000000 1.7182584202 -0.0557200741
7.3000000000 1.7051458123 -0.2017022879
7.4000000000 1.6787772393 -0.3218774329
7.5000000000 1.6414244011 -0.4223765771
7.6000000000 1.5947708753 -0.5087525657
7.7000000000 1.5399854796 -0.5857359519
7.8000000000 1.4778041277 -0.6572739006
7.9000000000 1.4086008079 -0.7266885798
8.0000000000 1.3324405764 -0.7968686641
8.1000000000 1.2491134994 -0.8704548300
8.2000000000 1.1581510281 -0.9500039797
8.3000000000 1.0588273356 -1.0381245594
8.4000000000 0.9501489932 -1.1375715415
8.5000000000 0.8308381971 -1.2512738765
8.6000000000 0.6993188638 -1.3822361311
8.7000000000 0.5537232475 -1.5332013886
8.8000000000 0.3919519886 -1.7058782598
8.9000000000 0.2118453900 -1.8994318526
9.0000000000 0.0115571801 -2.1078930617
9.1000000000 -0.2097516660 -2.3163883170
9.2000000000 -0.4508138351 -2.4971126458
9.3000000000 -0.7068603657 -2.6081930320
9.4000000000 -0.9684853094 -2.6009906630
9.5000000000 -1.2218485361 -2.4394766987
9.6000000000 -1.4511737235 -2.1242360692
9.7000000000 -1.6430524033 -1.7011641444
9.8000000000 -1.7902232515 -1.2423209926
9.9000000000 -1.8925479306 -0.8131167512
10.0000000000 -1.9551353176 -0.4513711870
10.1000000000 -1.9854158256 -0.1668540618
10.2000000000 -1.9908263445 0.0481005648
10.3000000000 -1.9776274103 0.2078822870
10.4000000000 -1.9505916949 0.3271269956
10.5000000000 -1.9131376779 0.4180551488
10.6000000000 -1.8676082144 0.4899732808
10.7000000000 -1.8155463205 0.5496675034
10.8000000000 -1.7579167586 0.6020205780
10.9000000000 -1.6952669667 0.6505829378
11.0000000000 -1.6278366807 0.6980238814
11.1000000000 -1.5556284149 0.7464666063
11.2000000000 -1.4784491777 0.7977333103
11.3000000000 -1.3959310208 0.8535276228
11.4000000000 -1.3075355547 0.9155758912
11.5000000000 -1.2125457784 0.9857412958
11.6000000000 -1.1100475859 1.0661163344
11.7000000000 -0.9989032870 1.1590878362
11.8000000000 -0.8777208864 1.2673507208
11.9000000000 -0.7448266558 1.3938155288
12.0000000000 -0.5982564680 1.5413013313
12.1000000000 -0.4357962204 1.7118195906
12.2000000000 -0.2551266736 1.9051412895
12.3000000000 -0.0541636867 2.1162598564
12.4000000000 0.1682813049 2.3315352911
12.5000000000 0.4114110893 2.5242207601
12.6000000000 0.6709836781 2.6523077482
12.7000000000 0.9379898833 2.6645036990
12.8000000000 1.1985722269 2.5192937358
12.9000000000 1.4363317600 2.2112468465
13.0000000000 1.6367805868 1.7837249740
13.1000000000 1.7915907030 1.3114991093
13.2000000000 1.8999999836 0.8655130132
13.3000000000 1.9670292470 0.4882846618
13.4000000000 2.0003711084 0.1918235723
13.5000000000 2.0078408426 -0.0312918699
13.6000000000 1.9960469052 -0.1961426512
13.7000000000 1.9700270606 -0.3182415044
13.8000000000 1.9333828191 -0.4105438934
13.9000000000 1.8885772555 -0.4828765368
14.0000000000 1.8372313048 -0.5423592514
14.1000000000 1.7803614834 -0.5940728044
14.2000000000 1.7185520838 -0.6416740041
14.3000000000 1.6520722982 -0.6878779690
14.4000000000 1.5809516881 -0.7348128275
14.5000000000 1.5050253576 -0.7842763002
14.6000000000 1.4239571086 -0.8379241045
14.7000000000 1.3372461380 -0.8974141057
14.8000000000 1.2442208387 -0.9645221199
14.9000000000 1.1440220780 -1.0412371214
15.0000000000 1.0355780266 -1.1298336253
15.1000000000 0.9175735331 -1.2329036887
15.2000000000 0.7884199777 -1.3533049659
15.3000000000 0.6462379594 -1.4939357932
15.4000000000 0.4888775511 -1.6571731305
15.5000000000 0.3140224447 -1.8437015033
15.6000000000 0.1194571428 -2.0503569142
15.7000000000 -0.0963862158 -2.2666652099
15.8000000000 -0.3334763176 -2.4703698333
15.9000000000 -0.5888088580 -2.6240408794
16.0000000000 -0.8549464833 -2.6777973938
16.1000000000 -1.1194057203 -2.5842184040
